"DNP","Reference","Name","Qty","Value","Description","Footprint"
"","C1","","1","10u","Polarized capacitor","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm"
"","D1","","1","LED_ARGB","RGB LED, anode/red/green/blue","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical"
"","J1","POWER","1","Screw_Terminal_01x02","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal"
"","J2","FAN","1","Screw_Terminal_01x02","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal"
"","MS1","","1","HC-SR501","PIR Motion Sensor HC-SR501","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical"
"","R1","","1","5k","Resistor","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"","R2,R3,R4","","3","1k","Resistor","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"","RELAY1","","1","HL-51","Relay 3.3V input","bathroom_fan:HL-51"
"","SW1","","1","SW_SPST","Single Pole Single Throw (SPST) switch","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"","U1","","1","ESP32-DEVKIT-V1","Dual core, Wi-Fi: 2.4 GHz up to 150 Mbits/s,BLE (Bluetooth Low Energy) and legacy Bluetooth, 32 bits, Up to 240 MHz","bathroom_fan:ESP32_DEVKIT_V1"
"","U2","","1","DHT11","3.3V to 5.5V, temperature and humidity module, DHT11","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical"
"","U3","","1","AC/DC Module 5V 700mA","5Vdc 700mA AC/DC 85-265Vac generic module JZ-53E13","bathroom_fan:ACDC_Module_5V_700mA"
